Timestamp (ms),Date & Time,Machine Id,Alert ID,Value,Alert Name,Flag
1733229799266,2024-12-03 18:13:19.266418,66e03c39431bd909598197d55,b8eb872a-38d0-4ff2-98bf-2b957e61a008,current: 1.67,Spike occur in current,yellow
1733229854251,2024-12-03 18:14:14.251210,66e03c39431bd909598197d55,b8eb872a-38d0-4ff2-98bf-2b957e61a008,current: 1.75,Spike occur in current,yellow
1733230256955,2024-12-03 18:20:56.955812,66e03c39431bd909598197d55,b8eb872a-38d0-4ff2-98bf-2b957e61a008,current: 1.82,Spike occur in current,yellow
1733230504145,2024-12-03 18:25:04.145590,66e03c39431bd909598197d55,b8eb872a-38d0-4ff2-98bf-2b957e61a008,current: 1.67,Spike occur in current,yellow
1733231329589,2024-12-03 18:38:49.589597,66e03c39431bd909598197d55,b8eb872a-38d0-4ff2-98bf-2b957e61a008,current: 1.61,Spike occur in current,yellow
1733231521802,2024-12-03 18:42:01.802728,66e03c39431bd909598197d55,b8eb872a-38d0-4ff2-98bf-2b957e61a008,current: 1.58,Spike occur in current,yellow
1733231769017,2024-12-03 18:46:09.017712,66e03c39431bd909598197d55,b8eb872a-38d0-4ff2-98bf-2b957e61a008,current: 1.61,Spike occur in current,yellow
1733232013976,2024-12-03 18:50:13.976441,66e03c39431bd909598197d55,b8eb872a-38d0-4ff2-98bf-2b957e61a008,current: 1.51,Spike occur in current,yellow
1733288304459,2024-12-04 10:28:24.459214,66e03c39431bd909598197d55,b8eb872a-38d0-4ff2-98bf-2b957e61a008,current: 1.8,Increase Power cunsuption at night,yellow
1733288373141,2024-12-04 10:29:33.141621,66e03c39431bd909598197d55,b8eb872a-38d0-4ff2-98bf-2b957e61a008,current: 1.77,Increase Power cunsuption at night,yellow
1733288455576,2024-12-04 10:30:55.576183,66e03c39431bd909598197d55,b8eb872a-38d0-4ff2-98bf-2b957e61a008,current: 1.73,Increase Power cunsuption at night,yellow
1733289085848,2024-12-04 10:41:25.848387,66e03c39431bd909598197d54,b8eb872a-38d0-4ff2-98bf-2b957e61a007,current: 1.82,Spike is occur in current ,yellow
1733289168275,2024-12-04 10:42:48.275489,66e03c39431bd909598197d54,b8eb872a-38d0-4ff2-98bf-2b957e61a007,current: 1.81,Spike is occur in current ,yellow
